FIPS,crime,arrest_count_white,arrest_count_black,arrest_count_asian,arrest_count_hispanic
01089,weapon,0.0,1.0,0.0,0.0
01091,property,13.0,19.0,0.0,0.0
01091,violent,1.0,15.0,0.0,0.0
01091,weapon,1.0,2.0,0.0,0.0
01093,property,22.0,9.0,0.0,0.0
01093,violent,8.0,0.0,0.0,0.0
01093,weapon,2.0,0.0,0.0,0.0
01095,property,105.0,2.0,0.0,0.0
01095,violent,24.0,2.0,0.0,0.0
01095,weapon,8.0,0.0,0.0,0.0
01097,drug,21.0,87.0,0.0,0.0
01097,property,99.0,166.0,1.0,0.0
01097,violent,28.0,37.0,1.0,0.0
01097,weapon,1.0,21.0,1.0,0.0
01099,property,15.0,28.0,0.0,0.0
01099,violent,4.0,14.0,0.0,0.0
01099,weapon,0.0,1.0,0.0,0.0
01101,property,5.0,14.0,0.0,0.0
01101,violent,1.0,5.0,0.0,0.0
01101,weapon,1.0,1.0,0.0,0.0
01103,property,117.0,16.0,0.0,0.0
01103,violent,10.0,3.0,0.0,0.0
01103,weapon,3.0,0.0,0.0,0.0
01105,property,0.0,1.0,0.0,0.0
01105,violent,0.0,1.0,0.0,0.0
01105,weapon,0.0,1.0,0.0,0.0
01107,property,7.0,25.0,0.0,0.0
01107,violent,0.0,4.0,0.0,0.0
01107,weapon,2.0,3.0,0.0,0.0
01109,property,4.0,15.0,0.0,0.0
01109,violent,2.0,14.0,0.0,0.0
01109,weapon,0.0,2.0,0.0,0.0
01111,property,24.0,2.0,0.0,0.0
01111,violent,3.0,2.0,0.0,0.0
01115,property,99.0,30.0,1.0,0.0
01115,violent,25.0,3.0,0.0,0.0
01115,weapon,3.0,1.0,0.0,0.0
01117,property,17.0,3.0,0.0,0.0
01117,violent,7.0,2.0,0.0,0.0
01119,property,1.0,41.0,0.0,0.0
01119,violent,0.0,12.0,0.0,0.0
01119,weapon,0.0,1.0,0.0,0.0
01121,property,113.0,67.0,0.0,0.0
01121,violent,11.0,9.0,0.0,0.0
01121,weapon,4.0,6.0,0.0,0.0
01123,property,16.0,33.0,0.0,0.0
01123,violent,5.0,17.0,0.0,0.0
01123,weapon,0.0,5.0,0.0,0.0
01125,drug,81.0,324.0,0.0,0.0
01125,property,46.0,67.0,0.0,0.0
01125,violent,5.0,12.0,0.0,0.0
01125,weapon,1.0,0.0,0.0,0.0
01127,property,62.0,14.0,0.0,0.0
01127,violent,7.0,6.0,0.0,0.0
01127,weapon,2.0,1.0,0.0,0.0
01129,property,3.0,3.0,0.0,0.0
01129,violent,0.0,2.0,0.0,0.0
01131,property,5.0,24.0,0.0,0.0
01131,violent,4.0,14.0,0.0,0.0
01131,weapon,0.0,3.0,0.0,0.0
01133,property,36.0,1.0,0.0,0.0
01133,violent,5.0,0.0,0.0,0.0
01133,weapon,2.0,0.0,0.0,0.0
02016,drug,21.0,0.0,15.0,0.0
02016,property,5.0,0.0,5.0,0.0
02016,violent,4.0,0.0,3.0,0.0
02020,drug,1062.0,258.0,93.0,0.0
02020,property,1145.0,241.0,136.0,0.0
02020,violent,462.0,198.0,79.0,0.0
02020,weapon,68.0,30.0,8.0,0.0
02050,drug,0.0,6.0,0.0,0.0
02050,property,1.0,0.0,0.0,0.0
02050,violent,1.0,0.0,0.0,0.0
02050,weapon,0.0,0.0,0.0,0.0
02060,property,2.0,0.0,0.0,0.0
02070,drug,3.0,3.0,0.0,0.0
02070,property,4.0,0.0,0.0,0.0
02070,violent,8.0,0.0,0.0,0.0
02070,weapon,1.0,0.0,0.0,0.0
02090,drug,288.0,42.0,6.0,0.0
02090,property,206.0,25.0,3.0,0.0
02090,violent,40.0,18.0,0.0,0.0
02090,weapon,17.0,3.0,0.0,0.0
02100,drug,9.0,0.0,0.0,0.0
02100,property,5.0,0.0,0.0,0.0
02100,violent,3.0,0.0,0.0,0.0
02100,weapon,1.0,0.0,0.0,0.0
02110,drug,75.0,3.0,0.0,0.0
02110,property,143.0,5.0,11.0,0.0
02110,violent,38.0,5.0,2.0,0.0
02110,weapon,12.0,0.0,1.0,0.0
02122,drug,354.0,24.0,0.0,0.0
02122,property,289.0,4.0,3.0,0.0
02122,violent,66.0,1.0,1.0,0.0
02122,weapon,15.0,0.0,0.0,0.0
02130,drug,153.0,0.0,6.0,0.0
02130,property,57.0,0.0,0.0,0.0
02130,violent,14.0,0.0,0.0,0.0
02130,weapon,1.0,0.0,0.0,0.0
02150,drug,39.0,6.0,6.0,0.0
02150,property,30.0,1.0,6.0,0.0
02150,violent,9.0,0.0,7.0,0.0
02150,weapon,2.0,0.0,1.0,0.0
02170,drug,114.0,0.0,3.0,0.0
02170,property,133.0,2.0,2.0,0.0
02170,violent,22.0,2.0,0.0,0.0
02170,weapon,6.0,0.0,0.0,0.0
02180,drug,18.0,0.0,0.0,0.0
02180,property,2.0,0.0,0.0,0.0
02180,violent,3.0,0.0,1.0,0.0
02180,weapon,1.0,0.0,0.0,0.0
02185,drug,9.0,6.0,0.0,0.0
02185,property,2.0,0.0,3.0,0.0
02185,violent,1.0,0.0,0.0,0.0
02185,weapon,2.0,1.0,0.0,0.0
02188,drug,0.0,0.0,0.0,0.0
02188,property,0.0,0.0,0.0,0.0
02188,violent,2.0,0.0,0.0,0.0
02188,weapon,0.0,0.0,0.0,0.0
02198,drug,21.0,3.0,0.0,0.0
02198,property,10.0,0.0,0.0,0.0
02198,violent,7.0,0.0,0.0,0.0
02198,weapon,2.0,0.0,0.0,0.0
02220,drug,57.0,3.0,6.0,0.0
02220,property,14.0,2.0,3.0,0.0
02220,violent,2.0,0.0,0.0,0.0
02220,weapon,4.0,0.0,0.0,0.0
02230,property,1.0,0.0,0.0,0.0
02261,drug,21.0,0.0,0.0,0.0
02261,property,13.0,0.0,0.0,0.0
02261,violent,9.0,0.0,0.0,0.0
02261,weapon,3.0,0.0,0.0,0.0
02275,drug,9.0,0.0,0.0,0.0
02275,property,2.0,0.0,0.0,0.0
02275,violent,2.0,0.0,0.0,0.0
04001,drug,304.0,39.0,0.0,0.0
04001,property,89.0,2.0,0.0,0.0
04001,violent,30.0,0.0,0.0,0.0
04001,weapon,4.0,0.0,0.0,0.0
04003,drug,1521.0,163.0,9.0,0.0
04003,property,455.0,49.0,1.0,0.0
04003,violent,126.0,15.0,0.0,0.0
04003,weapon,13.0,1.0,0.0,0.0
04005,drug,1803.0,120.0,15.0,0.0
04005,property,616.0,30.0,6.0,0.0
04005,violent,135.0,15.0,5.0,0.0
04005,weapon,19.0,2.0,0.0,0.0
04007,drug,738.0,15.0,0.0,0.0
04007,property,241.0,1.0,0.0,0.0
04007,violent,61.0,0.0,0.0,0.0
04007,weapon,23.0,0.0,0.0,0.0
04009,drug,234.0,33.0,0.0,0.0
04009,property,65.0,6.0,0.0,0.0
04009,violent,49.0,2.0,0.0,0.0
04009,weapon,6.0,0.0,0.0,0.0
04011,drug,93.0,0.0,0.0,0.0
04011,property,13.0,0.0,0.0,0.0
04011,violent,28.0,0.0,0.0,0.0
04011,weapon,1.0,0.0,0.0,0.0
04012,drug,474.0,72.0,12.0,0.0
04012,property,85.0,1.0,0.0,0.0
04012,violent,31.0,0.0,0.0,0.0
04012,weapon,14.0,0.0,0.0,0.0
04013,drug,43647.0,6879.0,351.0,0.0
04013,property,20163.0,3836.0,210.0,0.0
04013,violent,4169.0,1356.0,40.0,0.0
04013,weapon,1326.0,309.0,14.0,0.0
04015,drug,4368.0,99.0,18.0,0.0
04015,property,1591.0,34.0,8.0,0.0
04015,violent,257.0,6.0,5.0,0.0
04015,weapon,36.0,1.0,1.0,0.0
04017,drug,1578.0,69.0,30.0,0.0
04017,property,368.0,18.0,2.0,0.0
04017,violent,125.0,7.0,0.0,0.0
04017,weapon,27.0,2.0,0.0,0.0
04019,drug,15462.0,1662.0,87.0,0.0
04019,property,6569.0,775.0,44.0,0.0
04019,violent,860.0,151.0,12.0,0.0
04019,weapon,306.0,56.0,3.0,0.0
04021,drug,2949.0,336.0,3.0,0.0
04021,property,1461.0,222.0,11.0,0.0
04021,violent,304.0,70.0,0.0,0.0
04021,weapon,75.0,16.0,0.0,0.0
04023,drug,606.0,3.0,0.0,0.0
04023,property,277.0,1.0,0.0,0.0
04023,violent,45.0,1.0,0.0,0.0
